,name,country,discipline
322,Josef BOONS,"BEL, ",Road Cycling
323,Willi MEURER,"GER, ",Road Cycling
324,Michael WALKER,"IRL, ",Road Cycling
325,Pierino FAVALLI,"ITA, ",Road Cycling
326,Lars NORDWALL,"SWE, ",Road Cycling
327,Erik JANSSON,"SWE, ",Road Cycling
328,Per DIGERUD,"NOR, ",Road Cycling
329,Giuseppe TONUCCI,"ITA, ",Road Cycling
330,Adolf KOFLER,"AUT, ",Road Cycling
331,Nathael SAGARD,"CAN, ",Road Cycling
332,Anders JARL,"SWE, ",Road Cycling
333,Resa RESIK,"EST, ",Road Cycling
334,Raimondas VILCINSKAS,"LTU, ",Road Cycling
335,Aleksandr SHEFER,"KAZ, ",Road Cycling
336,Anisha VEKEMANS,"BEL, ",Road Cycling
337,Edwige PITEL,"FRA, ",Road Cycling
338,Aude BIANNIC,"FRA, ",Road Cycling
339,Soufiane HADDI,"MAR, ",Road Cycling
340,Christiane SOEDER,"AUT, ",Road Cycling
341,Martin SÄTERHAUG,"NOR, ",Road Cycling
342,Ilmari VOUTELIN,"FIN, ",Road Cycling
343,Ferdinand SAIVE,"BEL, ",Road Cycling
344,Hendrik INNEMEE,"NED, ",Road Cycling
345,Luigi MAGNOTTI,"ITA, ",Road Cycling
346,Josef BOONS,"BEL, ",Road Cycling
347,Willi MEURER,"GER, ",Road Cycling
348,Michael WALKER,"IRL, ",Road Cycling
349,Pierino FAVALLI,"ITA, ",Road Cycling
350,Lars NORDWALL,"SWE, ",Road Cycling
351,Erik JANSSON,"SWE, ",Road Cycling
352,Per DIGERUD,"NOR, ",Road Cycling
353,Giuseppe TONUCCI,"ITA, ",Road Cycling
354,Adolf KOFLER,"AUT, ",Road Cycling
355,Nathael SAGARD,"CAN, ",Road Cycling
356,Anders JARL,"SWE, ",Road Cycling
357,Resa RESIK,"EST, ",Road Cycling
358,Raimondas VILCINSKAS,"LTU, ",Road Cycling
359,Aleksandr SHEFER,"KAZ, ",Road Cycling
360,Miguel INDURAIN,"ESP, ",Road Cycling
361,Soren LILHOLT,"DEN, ",Road Cycling
362,Kobi SCHERER,"SUI, ",Road Cycling
363,Jari LAHDE,"FIN, ",Road Cycling
364,Laszlo HALASZ,"HUN, ",Road Cycling
365,Jacek BODYK,"POL, ",Road Cycling
366,Jose ASCONEGUI,"URU, ",Road Cycling
367,Giorgi NADIRADZE,"GEO, ",Road Cycling
368,Adil JELLOUL,"MAR, ",Road Cycling
369,Rudolf MITTEREGGER,"AUT, ",Road Cycling
370,Alexander KRISTOFF,"NOR, ",Road Cycling
371,Sacha MODOLO,"ITA, ",Road Cycling
372,Isabelle SODERBERG,"SWE, ",Road Cycling
373,Rene MANDRI,"EST, ",Road Cycling
374,Andre GREIPEL,"GER, ",Road Cycling
375,Hege STENDAHL,"NOR, ",Road Cycling
376,Thorleif ANDRESEN,"NOR, ",Road Cycling
377,Laurent DIDIER,"LUX, ",Road Cycling
378,Raul ALCALA,"MEX, ",Road Cycling
379,Daniel AMARDEILH,"FRA, ",Road Cycling
380,Carlos SASTRE,"ESP, ",Road Cycling
381,Yemane NEGASSI,"ETH, ",Road Cycling
382,Tibor MAGYAR,"HUN, ",Road Cycling
383,Michael BOOGERD,"NED, ",Road Cycling
384,Sharon VANDROMME,"BEL, ",Road Cycling
385,Angela BRODTKA,"GER, ",Road Cycling
386,Kyrylo POSPYEYEV,"UKR, ",Road Cycling
387,Horacio GALLARDO,"BOL, ",Road Cycling
388,Vladimir MIHOLJEVIC,"CRO, ",Road Cycling
389,Raivis BELOHVOSCIKS,"LAT, ",Road Cycling
390,Stephan ABRAHANIAN,"FRA, ",Road Cycling
391,Pramote SANGSKULROTE,"THA, ",Road Cycling
392,Grimon LANGSON,"MAW, ",Road Cycling
393,Georges CONAN,"FRA, ",Road Cycling
394,Eugen PLESKO,"YUG, ",Road Cycling
395,Urs GULLER,"SUI, ",Road Cycling
396,Emmanuel MAGNIEN,"FRA, ",Road Cycling
397,Georg TOTSCHNIG,"AUT, ",Road Cycling
398,Toshiro AKAMATSU,"JPN, ",Road Cycling
399,Carmel MUSCAT,"MLT, ",Road Cycling
400,Fitzgerald JOSEPH,"BIZ, ",Road Cycling
401,Olinto SILVA,"VEN, ",Road Cycling
402,Kevin BRADSHAW,"AUS, ",Road Cycling
403,Mario MEDINA,"VEN, ",Road Cycling
404,Jemal ROGORA,"ETH, ",Road Cycling
405,Mustapha NAJJARI,"MAR, ",Road Cycling
406,Peter KESTING,"AUS, ",Road Cycling
407,Zeragaber GEBREHIWOT,"ETH, ",Road Cycling
408,Sharon VANDROMME,"BEL, ",Road Cycling
409,Angela BRODTKA,"GER, ",Road Cycling
410,Kyrylo POSPYEYEV,"UKR, ",Road Cycling
411,Horacio GALLARDO,"BOL, ",Road Cycling
412,Vladimir MIHOLJEVIC,"CRO, ",Road Cycling
413,Raivis BELOHVOSCIKS,"LAT, ",Road Cycling
414,Stephan ABRAHANIAN,"FRA, ",Road Cycling
415,Pramote SANGSKULROTE,"THA, ",Road Cycling
416,Grimon LANGSON,"MAW, ",Road Cycling
417,Georges CONAN,"FRA, ",Road Cycling
418,Eugen PLESKO,"YUG, ",Road Cycling
419,Urs GULLER,"SUI, ",Road Cycling
420,Emmanuel MAGNIEN,"FRA, ",Road Cycling
421,Georg TOTSCHNIG,"AUT, ",Road Cycling
422,Toshiro AKAMATSU,"JPN, ",Road Cycling
423,Carmel MUSCAT,"MLT, ",Road Cycling
424,Fitzgerald JOSEPH,"BIZ, ",Road Cycling
425,Olinto SILVA,"VEN, ",Road Cycling
426,Kevin BRADSHAW,"AUS, ",Road Cycling
427,Mario MEDINA,"VEN, ",Road Cycling
428,Jemal ROGORA,"ETH, ",Road Cycling
429,Mustapha NAJJARI,"MAR, ",Road Cycling
430,Peter KESTING,"AUS, ",Road Cycling
431,Zeragaber GEBREHIWOT,"ETH, ",Road Cycling
432,Remo SANSONETTI,"AUS, ",Road Cycling
433,Milan DVORSCIK,"SVK, ",Road Cycling
434,Rolf ALDAG,"GER, ",Road Cycling
435,Serhiy USHAKOV,"UKR, ",Road Cycling
436,Rasa POLIKEVICIUTE,"LTU, ",Road Cycling
437,Diana ZILIUTE,"LTU, ",Road Cycling
438,Kaspars OZERS,"LAT, ",Road Cycling
439,Robert PINTARIC,"SLO, ",Road Cycling
440,Emil SCHÖPFLIN,"GER, ",Road Cycling
441,Cesar PENARANDA,"PER, ",Road Cycling
442,Miroslav LIPTAK,"TCH, ",Road Cycling
443,Daniel ROGELIN,"BRA, ",Road Cycling
444,Valdir LERMEN,"BRA, ",Road Cycling
445,Stanislaw ZIELINSKI,"POL, ",Road Cycling
446,Roberta BONANOMI,"ITA, ",Road Cycling
447,Monica VALVIK,"NOR, ",Road Cycling
448,Robert LELANGUE,"BEL, ",Road Cycling
449,Andriy CHMIL,"UKR, ",Road Cycling
450,Timothy JONES,"ZIM, ",Road Cycling
451,Osamu SUMIDA,"JPN, ",Road Cycling
452,Stanislav GAZDA,"POL, ",Road Cycling
453,Bernard BOURREAU,"FRA, ",Road Cycling
454,Peter DOYLE,"IRL, ",Road Cycling
