name,country,discipline
Sophie VILLENEUVE,"FRA, ",Cross-Country
Caroline ALEXANDER,"GBR, ",Mountain Bike
Sam BEWLEY,"NZL, ",Mountain Bike
Francelina CABRAL,"TLS, ",Mountain Bike
Susan DEMATTEI,"USA, ",Mountain Bike
Erica GREEN,"RSA, ",Mountain Bike
Howard GROTTS,"USA, ",Mountain Bike
Zhen WANG,"CHN, ",Mountain Bike
Pauline FERRAND PREVOT,"FRA, ",Mountain Bike
Dong-Woo KANG,"KOR, ",Mountain Bike
Hiroko NAMBU,"JPN, ",Mountain Bike
Fredrik KESSIAKOFF,"SWE, ",Mountain Bike
Samuel Kenneth MUHINDI,,Mountain Bike
Daniela GASSMANN,"SUI, ",Mountain Bike
Juliana FURTADO,"USA, ",Mountain Bike
Ann TROMBLEY,"USA, ",Mountain Bike
Laura Valentina ABRIL RESTREPO,"COL, ",Mountain Bike
Mary MCCONNELOUG,"USA, ",Mountain Bike
Jose Antonio HERMIDA RAMOS,"ESP, ",Mountain Bike
David Joao Serralheiro ROSA,"POR, ",Mountain Bike
Samuel SCHULTZ,"USA, ",Mountain Bike
Ziranda MADRIGAL ALVAREZ-UGENA,"MEX, ",Mountain Bike
Erica Lynn GREEN,"RSA, ",Mountain Bike
Lea DAVISON,"USA, ",Mountain Bike
Sophie VILLENEUVE,"FRA, ",Cross-Country
Caroline ALEXANDER,"GBR, ",Mountain Bike
Sam BEWLEY,"NZL, ",Mountain Bike
Francelina CABRAL,"TLS, ",Mountain Bike
Susan DEMATTEI,"USA, ",Mountain Bike
Erica GREEN,"RSA, ",Mountain Bike
Howard GROTTS,"USA, ",Mountain Bike
Zhen WANG,"CHN, ",Mountain Bike
Pauline FERRAND PREVOT,"FRA, ",Mountain Bike
Dong-Woo KANG,"KOR, ",Mountain Bike
Jin-Ok LEE,"KOR, ",Mountain Bike
Jianhua JI,"CHN, ",Mountain Bike
Elsbeth VAN ROOY,"NED, ",Mountain Bike
Chun Hing CHAN,"HKG, ",Mountain Bike
Hector Leonardo PAEZ LEON,"COL, ",Mountain Bike
Todd WELLS,"USA, ",Mountain Bike
Georgia GOULD,"USA, ",Mountain Bike
Hongying GAO,"CHN, ",Mountain Bike
Tiago Jorge Oliveira FERREIRA,"POR, ",Mountain Bike
Chloe WOODRUFF,"USA, ",Mountain Bike
Paolo Cesar MONTOYA CANTILLO,"CRC, ",Mountain Bike
Ruth MATTHES,"USA, ",Mountain Bike
Radim KORINEK,"CZE, ",Road Cycling
Alexandra Ka-Wah YEUNG,"HKG, ",Mountain Bike
Chengyuan REN,"CHN, ",Mountain Bike
Peter VAN DEN ABEELE,"BEL, ",Mountain Bike
David JUAREZ,"USA, ",Mountain Bike
Weisong TONG,"CHN, ",Mountain Bike
Adam CRAIG,"USA, ",Mountain Bike
Jose Adrian BONILLA BONILLA,"CRC, ",Mountain Bike
Ping YAO,"CHN, ",Mountain Bike
Allison DUNLAP,"USA, ",Mountain Bike
Jeremy HORGAN-KOBELSKI,"USA, ",Mountain Bike
Yongbiao ZHU,"CHN, ",Mountain Bike
